table,column,type,nullable,checks,description
seats.parquet,post_id,Int8,False,"<Check isin: isin([1, 2, 3, 4, 5, 6])>",SEC post ID; see POSTS.
seats.parquet,district_id,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(1)>; <Check less_than_or_equal_to: less_than_or_equal_to(38)>,SEC district ID.
seats.parquet,block_id,Int32,True,,SEC block ID; null for zila parishad seats.
seats.parquet,panchayat_id,Int64,True,,SEC panchayat ID; null for samiti and zila parishad seats.
seats.parquet,seat_no,Int32,True,,"Ward, samiti or zila parishad seat number; null for mukhiya and sarpanch."
seats.parquet,unit_id,String,False,,"Seat key within the office, built from the IDs."
seats.parquet,district,String,False,,District name from the portal frame.
seats.parquet,block,String,True,,Block name from the portal frame.
seats.parquet,panchayat,String,True,,Panchayat name from the portal frame.
seats.parquet,phases_listed,String,True,,"Election rounds the portal lists for the seat, ';'-joined (e.g. 2021_1;2023_1); null when not requested."
seats.parquet,candidate_records,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,Rows in the 2021 candidate list.
seats.parquet,result_records,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,Rows in the 2021 result feed; samiti and zila parishad seats have one row per candidate per panchayat.
seats.parquet,result_only_candidates,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,Candidates named in results but missing from the candidate list.
seats.parquet,result_candidates,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,Distinct candidates in the results.
seats.parquet,winners_flagged,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>; <Check less_than_or_equal_to: less_than_or_equal_to(1)>,Candidates with IsWin true on any result row.
seats.parquet,winner_flag_partial,Boolean,False,,IsWin differs across the winner's panchayat rows in the source.
seats.parquet,status,String,False,"<Check isin: isin(['results', 'one_candidate_no_results', 'candidates_no_results', 'no_candidates', 'phase_not_listed'])>",Seat outcome class; see SEAT_STATUS.
candidates.parquet,post_id,Int8,False,"<Check isin: isin([1, 2, 3, 4, 5, 6])>",SEC post ID.
candidates.parquet,unit_id,String,False,,Seat key; joins to seats.
candidates.parquet,in_candidate_list,Boolean,False,,"Listed in the candidate list; false for candidates named only in results, whose list attributes are null."
candidates.parquet,candidate_serial,Int32,True,<Check greater_than_or_equal_to: greater_than_or_equal_to(1)>,OrderBy in the candidate list (renumbered in name order); null if unlisted.
candidates.parquet,candidate_name,String,True,,"CandidateName, verbatim; the result-feed name without the winner mark when unlisted; null when blank in the source (one panch candidate)."
candidates.parquet,guardian_name,String,True,,"GaurdianName (father or husband), verbatim."
candidates.parquet,candidate_age,Int32,True,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,Age as reported; not corrected.
candidates.parquet,candidate_age_implausible,Boolean,True,,Age below 21 or above 100.
candidates.parquet,candidate_gender_raw,String,True,,"Gender, verbatim."
candidates.parquet,candidate_gender,String,True,"<Check isin: isin(['male', 'female', 'other'])>",Gender mapped to male/female/other.
candidates.parquet,candidate_address,String,True,,"CandidateAddress, verbatim."
candidates.parquet,symbol_name,String,True,,"SymbolName, the allotted election symbol."
candidates.parquet,symbol_file,String,True,,"SymbolUrl, the symbol image file name."
candidates.parquet,photo_url,String,True,<Check str_startswith: str_startswith('http')>,CandidatePhoto link.
candidates.parquet,affidavit_url,String,True,<Check str_startswith: str_startswith('http')>,CandidateDoc nomination PDF link.
candidates.parquet,result_present,Boolean,False,,A result record was matched to this candidate.
candidates.parquet,result_serial,Int32,True,,OrderBy of the matched result record.
candidates.parquet,match_method,String,True,"<Check isin: isin(['serial_and_name', 'name', 'namesake_order', 'name_contained', 'serial_only'])>",How the result was matched; null without a result.
candidates.parquet,votes,Int64,True,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,TotalVote summed over the seat's result rows; null without results.
candidates.parquet,elected,Boolean,True,,IsWin from the result feed; null without results.
candidates.parquet,source_url,String,False,,"SEC request URL, including election phase and seat parameters."
candidates.parquet,fetched_at,String,False,,UTC time the response was retrieved.
candidates.parquet,source_sha256,String,False,<Check str_length: str_length(64)>,SHA-256 of the saved response body.
candidates.parquet,source_row,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(1)>,One-based position of the record in that response.
result_rows.parquet,post_id,Int8,False,"<Check isin: isin([1, 2, 3, 4, 5, 6])>",SEC post ID.
result_rows.parquet,unit_id,String,False,,Seat key; joins to seats.
result_rows.parquet,result_record_id,Int64,False,,"SlNo, the portal's result record number."
result_rows.parquet,post_name,String,False,,"PostName, verbatim."
result_rows.parquet,result_district_id,Int32,False,,Dist; equals the requested district.
result_rows.parquet,result_district,String,False,,"DistrictName, verbatim."
result_rows.parquet,result_block_id,Int32,True,,BlockID of the reporting panchayat.
result_rows.parquet,result_block,String,True,,"BlockName, verbatim."
result_rows.parquet,result_panchayat_id,Int64,True,,PanchayatNo of the reporting panchayat.
result_rows.parquet,result_panchayat,String,True,,"PanchayatName, verbatim."
result_rows.parquet,result_seat_no,Int32,True,,"WardNo: ward, samiti or zila parishad number."
result_rows.parquet,result_serial,Int32,True,<Check greater_than_or_equal_to: greater_than_or_equal_to(1)>,"OrderBy in the result feed; null in 16,113 ward-member rows."
result_rows.parquet,result_name,String,False,,"CandidateName in the result feed, verbatim."
result_rows.parquet,votes,Int64,True,<Check greater_than_or_equal_to: greater_than_or_equal_to(0)>,TotalVote in this panchayat; null when blank.
result_rows.parquet,elected,Boolean,False,,IsWin.
result_rows.parquet,candidate_serial,Int32,True,,Matched candidate-list serial; null when the candidate is not listed.
result_rows.parquet,match_method,String,True,"<Check isin: isin(['serial_and_name', 'name', 'namesake_order', 'name_contained', 'serial_only'])>",How the match was made; null when unlisted.
result_rows.parquet,source_url,String,False,,"SEC request URL, including election phase and seat parameters."
result_rows.parquet,fetched_at,String,False,,UTC time the response was retrieved.
result_rows.parquet,source_sha256,String,False,<Check str_length: str_length(64)>,SHA-256 of the saved response body.
result_rows.parquet,source_row,Int32,False,<Check greater_than_or_equal_to: greater_than_or_equal_to(1)>,One-based position of the record in that response.
winners.parquet,post_id,Int8,False,"<Check isin: isin([1, 2, 3, 4, 5, 6])>",SEC post ID.
winners.parquet,unit_id,String,False,,Seat key; joins to seats.
winners.parquet,winner_basis,String,False,"<Check isin: isin(['result_flag', 'sole_candidate'])>","result_flag (IsWin) or sole_candidate (one candidate, no results; inferred as elected unopposed)."
winners.parquet,candidate_serial,Int32,True,,Candidate-list serial; null if unlisted.
winners.parquet,result_serial,Int32,True,,Result serial; null for sole candidates.
winners.parquet,winner_name,String,False,,"Candidate-list name, else the result name."
winners.parquet,candidate_gender,String,True,"<Check isin: isin(['male', 'female', 'other'])>",Mapped gender; null if unlisted.
