table,column,type,definition,missing
gp_head_candidates_2021.parquet,district_id,int64,"ID scoped by year, office and full geography.","null means unavailable, never zero"
gp_head_candidates_2021.parquet,block_id,int64,"ID scoped by year, office and full geography.","null means unavailable, never zero"
gp_head_candidates_2021.parquet,panchayat_id,int64,"ID scoped by year, office and full geography.","null means unavailable, never zero"
gp_head_candidates_2021.parquet,candidate_serial,int64,"ID scoped by year, office and full geography.","null means unavailable, never zero"
gp_head_candidates_2021.parquet,year,int64,Explicit request scope: year 2021 and mukhiya post 3.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,post_id,int64,Explicit request scope: year 2021 and mukhiya post 3.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,candidate_age,int64,Source-reported candidate age; no imputation.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,votes,int64,Source TotalVote; null when no result record exists.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,source_row,int64,One-based record position within that response.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,result_source_row,int64,One-based record position within that response.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,document_id,string,Full geographic key and candidate serial joined by underscores; no cross-year identity.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,district,string,Unmodified name from the portal geographic frame.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,block,string,Unmodified name from the portal geographic frame.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,panchayat,string,Unmodified name from the portal geographic frame.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,candidate_name,string,Source-reported candidate name; no imputation.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,candidate_gender,string,Source-reported candidate gender; no imputation.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,affidavit_url,string,CandidateDoc PDF link supplied in candidate list.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,source_url,string,SEC request URL including election phase and geographic parameters.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,fetched_at,string,UTC acquisition timestamp of candidate source response.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,source_sha256,string,SHA256 of saved source response bytes.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,raw_cell,string,Unmodified source record serialized as JSON.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,result_name,string,Source-reported result name; no imputation.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,result_source_url,string,SEC request URL including election phase and geographic parameters.,"null means unavailable, never zero"
gp_head_candidates_2021.parquet,result_source_sha256,string,SHA256 of saved source response bytes.,"null means unavailable, never zero"
